"I Heard You Twice The First Time","Branford Marsalis","1992","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/637481","27803","Blues; Jazz","Post Bop",""
"So Near, So Far (Musings For Miles)","Joe Henderson","1993","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/366428","10079","Jazz","Contemporary Jazz",""
"A Tribute To Miles","Herbie Hancock, Wayne Shorter, Ron Carter, Wallace Roney, Anthony Williams","1994","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/203360","3865; 29979; 95088; 255141; 261295","Jazz","Contemporary Jazz",""
"Infinity","McCoy Tyner Trio, Michael Brecker","1995","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/177613","291286; 135847","Jazz","Modal; Post Bop",""
"Tales From The Hudson","Michael Brecker","1996","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/284678","135847","Jazz","Contemporary Jazz; Post Bop",""
"Beyond The Missouri Sky (Short Stories)","Charlie Haden, Pat Metheny","1997","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/52876","253592; 20185","Jazz","Contemporary Jazz",""
"Gershwin's World","Herbie Hancock","1998","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/203363","3865","Jazz","Afro-Cuban Jazz; Bop; Cool Jazz; Hard Bop; Modal; Post Bop",""
"Like Minds","Gary Burton, Chick Corea, Pat Metheny, Roy Haynes, Dave Holland","1998","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/154436","256558; 37731; 20185; 255556; 84214","Jazz","Contemporary Jazz",""
"Contemporary Jazz","Branford Marsalis Quartet","2000","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/839763","295958","Jazz","",""
"This Is What I Do","Sonny Rollins","2000","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/918972","145264","Jazz","Hard Bop",""
"Directions In Music - Live At Massey Hall","Herbie Hancock, Michael Brecker, Roy Hargrove","2002","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/203365","3865; 135847; 99438","Jazz","Hard Bop; Modal",""
"Alegría","Wayne Shorter","2003","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/968651","29979","Jazz","Contemporary Jazz",""
"Illuminations","McCoy Tyner","2004","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/1082732","10620","Jazz","Post Bop",""
"Beyond The Sound Barrier","Wayne Shorter Quartet","2005","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/289530","888847","Jazz","Contemporary Jazz",""
"The Ultimate Adventure","Chick Corea","2006","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/467235","37731","Jazz","Contemporary Jazz; Fusion",""
"Pilgrimage","Michael Brecker","2007","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/10211","135847","Jazz","",""
"The New Crystal Silence","Gary Burton / Chick Corea","2008","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/738821","2692662","Jazz","Contemporary Jazz; Fusion",""
"Five Peace Band Live","Chick Corea, John McLaughlin","2009","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/432112","37731; 136179","Jazz","Fusion; Jazz-Rock; Post Bop",""
"4B","James Moody","2010","Grammy for Best Jazz Instrumental","https://www.discogs.com/release/8157351","120620","Jazz","Bop",""
"Forever","Chick Corea, Stanley Clarke, Lenny White","2011","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/565249","37731; 87519; 74210","Jazz","Fusion; Post Bop",""
"Unity Band","Pat Metheny","2012","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/469386","20185","Jazz","Contemporary Jazz",""
"Money Jungle: Provocative In Blue","Terri Lyne Carrington","2013","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/1151860","275597","Jazz","",""
"Trilogy","Chick Corea Trio","2013","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/782904","4100690","Jazz","",""
"Past Present","John Scofield","2015","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/894731","12628","Jazz","Contemporary Jazz",""
"Country For Old Men","John Scofield","2016","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/1068681","12628","Jazz","Contemporary Jazz",""
"Rebirth","Billy Childs","2017","Grammy for Best Jazz Instrumental","https://www.discogs.com/release/10014165","373784","Jazz","Contemporary Jazz",""
"Emanon","Wayne Shorter","2018","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/1426924","29979","Jazz","",""
"Trilogy 2","Chick Corea, Christian McBride, Brian Blade","2018","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/1611079","37731; 44565; 252331","Jazz","Post Bop",""
"Finding Gabriel","Brad Mehldau","2019","Grammy for Best Jazz Instrumental","https://www.discogs.com/master/1550554","256057","Jazz","",""
