"Purple Rain","Prince And The Revolution","1984","1001 Albums You Must Hear Before You Die; AMA for Pop/Rock; AMA for Soul/R&B; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; /mu/ Essentials","=IMAGE(""https://i.discogs.com/nAiRVbFtpBMxxJmKSyqDCZOX1tcgkmy2v8L8HYTYxcQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE5/NDAyMS0xMzM1NDAw/Mjg5LmpwZWc.jpeg"")","https://www.discogs.com/master/16245","96774","Funk / Soul; Pop; Rock; Stage & Screen","Funk; Minneapolis Sound; Pop Rock; Soundtrack",""
"Whitney Houston","Whitney Houston","1985","AMA for Pop/Rock; AMA for Soul/R&B; Rolling Stone's 500 Greatest Albums of All Time","=IMAGE(""https://i.discogs.com/aGBXPbCKCrs435VDzhtgetp1-F98n_vO1UDSzLscdKQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTY5/ODEyNzEtMTUxMzU2/OTQ5My01NjYxLmpw/ZWc.jpeg"")","https://www.discogs.com/master/51607","30542","Electronic; Funk / Soul; Pop; Rock","Ballad; Contemporary R&B; Dance-pop; Soul; Vocal",""
"Rapture","Anita Baker","1986","1001 Albums You Must Hear Before You Die; AMA for Soul/R&B","=IMAGE(""https://i.discogs.com/isp-nOkRm2NUvL6P7zJwtfEn3QUPk-ISz69sf49q3-Q/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUy/MjU5NDQtMTM4ODEw/MjI3OS00ODM5Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/113203","64805","Funk / Soul; Jazz","Smooth Jazz; Soul",""
"Faith","George Michael","1987","1001 Albums You Must Hear Before You Die; AMA for Soul/R&B; Grammy for Album of the Year; Rolling Stone's 500 Greatest Albums of All Time","=IMAGE(""https://i.discogs.com/kgkuE4hBQYCphdiN6dVZPnkpJe9Nu9IqWLc6WNSrcnk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQx/MzMxNS0xNTE0NDY2/NjUxLTQ0ODQuanBl/Zw.jpeg"")","https://www.discogs.com/master/96689","32990","Electronic; Funk / Soul; Pop; Rock","Pop Rock; Soft Rock",""
"Don't Be Cruel","Bobby Brown","1988","AMA for Soul/R&B","=IMAGE(""https://i.discogs.com/jEl4EUVyKINUL2-BzMO4fKTHnIWdziL_CF0-7IX04gU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTMx/Mjg5NS0xMzA3Njg2/ODcyLmpwZWc.jpeg"")","https://www.discogs.com/master/112766","46233","Funk / Soul","Contemporary R&B; Swingbeat",""
"Please Hammer Don't Hurt 'Em","MC Hammer","1990","AMA for Rap/HipHop; AMA for Soul/R&B","=IMAGE(""https://i.discogs.com/UXqHCRHI8PPbuAFXiAEqRe1Tbg1ejp_OKUCUMrjO__w/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI0/OTI1Ny0xMTI0NzM3/MzY4LmpwZw.jpeg"")","https://www.discogs.com/master/96501","36621","Funk / Soul; Hip Hop; Pop","Pop Rap",""
"Power Of Love / Love Power (12"" Power Mixes)","Luther Vandross","1991","AMA for Soul/R&B","=IMAGE(""https://i.discogs.com/Hx06yw0TMy4QOY0p9U9iP-KXZ1pRLu2ksahuqpVM3Bs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTkz/MDQzNi0xMjkzMTIy/MjE0LmpwZWc.jpeg"")","https://www.discogs.com/master/155541","22757","Funk / Soul","Disco",""
"Funky Divas","En Vogue","1992","AMA for Soul/R&B","=IMAGE(""https://i.discogs.com/16xk2kin3M_0kleYYvYBEg4YmWgn8nRLvImM0bB2ADw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTY0/MDYyOC0xNjQzNzYx/NTA1LTE2NjAuanBl/Zw.jpeg"")","https://www.discogs.com/master/115320","21295","Hip Hop","RnB/Swing",""
"The Bodyguard (Original Soundtrack Album)","Various","1992","AMA for Pop/Rock; AMA for Soul/R&B; Grammy for Album of the Year","=IMAGE(""https://i.discogs.com/R7uY2b9AKmaeHA15l5LV__aziW_luGU7DxZ6mD5z56g/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTg2/OTYyODItMTQ2Njg3/MDM1OC02OTU0Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/61126","194","Electronic; Rock; Stage & Screen","Modern Classical; Soundtrack; Synth-pop; Theme",""
"Toni Braxton","Toni Braxton","1993","AMA for Soul/R&B","=IMAGE(""https://i.discogs.com/6Pg8gxX9ZzQ-j6vnD8Mw_s_ISBLD2qgk-PI05kseU5Q/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE4/Mjc4MjctMTI1NjAy/ODAyMS5qcGVn.jpeg"")","https://www.discogs.com/master/96167","13936","Funk / Soul; Pop","Ballad; Contemporary R&B",""
"II","Boyz II Men","1994","AMA for Soul/R&B; Grammy for Best R&B","=IMAGE(""https://i.discogs.com/FfgNH8h-a9DtwPYdPMZPIaYf_Qid64mZsGvGKLXzIiA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM0/NjU1MS0xNTA4OTQ0/NDM4LTY3ODkuanBl/Zw.jpeg"")","https://www.discogs.com/master/77912","101552","Funk / Soul","Contemporary R&B",""
"Secrets","Toni Braxton","1996","AMA for Soul/R&B","=IMAGE(""https://i.discogs.com/b2n2DNteK7F3qz9Bkz9TRVziRA75b9CNioP6KuXrUTk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQy/NTM3Ni0xNDUzMDMw/MjcxLTI2NTguanBl/Zw.jpeg"")","https://www.discogs.com/master/96174","13936","Funk / Soul; Jazz; Pop","Ballad; Contemporary R&B; Easy Listening; Smooth Jazz; Soul",""
