"Channel Orange","Frank Ocean","2012","1001 Albums You Must Hear Before You Die; Grammy for Best Urban Contemporary","=IMAGE(""https://i.discogs.com/UM7rSrbI4KASq14wqIKHcHhWR0AL3bEs7ApdRqV30wg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM3/MzQ0MjUtMTU2Nzgw/NzMyNi05Mjc3Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/454284","2013868","Funk / Soul","Contemporary R&B; Neo Soul",""
"Unapologetic","Rihanna","2012","Grammy for Best Urban Contemporary","=IMAGE(""https://i.discogs.com/EFVQCgQMr1wDSh7TUJVywUYNAhOkTTdqwqRE2seEWQU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQz/MjM5ODAtMTM3MjM5/NTQ4NC03Mzg3Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/493452","321128","Electronic; Hip Hop; Pop","Contemporary R&B; Dubstep",""
"G I R L","Pharrell Williams","2014","Grammy for Best Urban Contemporary","=IMAGE(""https://i.discogs.com/i9veOxyZAK5muGtiGU16PgoaHafvzOPz0bR_CSNGLPc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTU0/NTk2NzItMTQwNjU2/ODcxOS03MjY4Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/660750","90037","Funk / Soul","Contemporary R&B",""
"Beauty Behind The Madness","The Weeknd","2015","AMA for Soul/R&B; Grammy for Best Urban Contemporary","=IMAGE(""https://i.discogs.com/La1egR7yU4TNmRuq1dLmEv1QOPPq6YNRtwyIPQpCc5U/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTc0/MDE1NzctMTUwMzg0/ODUxNy0yNDYxLmpw/ZWc.jpeg"")","https://www.discogs.com/master/877638","2171152","Funk / Soul; Hip Hop","Contemporary R&B; Soul",""
"Lemonade","Beyoncé","2016","Grammy for Best Urban Contemporary; Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/M_d6Ydo-NvKvJwwO7J1DS2XsGPrCkD02d0nu78UHz-0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTg0/ODY3MTQtMTQ3NzU3/NTAxMC02OTY5Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/992029","52835","Funk / Soul","Contemporary R&B; Neo Soul",""
"Starboy","The Weeknd","2016","Grammy for Best Urban Contemporary","=IMAGE(""https://i.discogs.com/vYjx_cWHZMqENIpEzZtePJ7s_OYdS829n_O7K0RZz80/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTk0/MTIzODMtMTQ4MzYw/ODY0Ny0zNjgzLmpw/ZWc.jpeg"")","https://www.discogs.com/master/1096251","2171152","Electronic; Funk / Soul; Hip Hop; Pop","Contemporary R&B",""
"Everything Is Love","The Carters","2018","Grammy for Best Urban Contemporary","=IMAGE(""https://i.discogs.com/kZezndg32vIlypQ_ebbyNCrxMjxQIaDFJHiJJIxZVcU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEy/MjI2NDg1LTE2MDE4/NDMyODMtNDA5MS5q/cGVn.jpeg"")","https://www.discogs.com/master/1380823","6543907","Hip Hop","",""
"Cuz I Love You","Lizzo","2019","Grammy for Best Urban Contemporary; Fantano Top 200 Albums of 2010s","=IMAGE(""https://i.discogs.com/hqLJRErDq6mpvfgs7Vx-REsPs4KvBRI2tyXLNlhDs6A/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/NjUyODUxLTE1NTg5/MzU0NDEtNDY1Ny5q/cGVn.jpeg"")","https://www.discogs.com/master/1545412","1097928","Funk / Soul; Hip Hop","Contemporary R&B; Funk; Neo Soul; Pop Rap; Trap",""
