"Check Your Head","Beastie Boys","1992","Relation","https://www.discogs.com/master/20145","10783","Funk / Soul; Hip Hop; Jazz; Rock","Alternative Rock; Funk; Instrumental; Punk; Soul-Jazz"
"Buhloone Mind State","De La Soul","1993","Relation","https://www.discogs.com/master/65662","4091","Hip Hop",""
"Midnight Marauders","A Tribe Called Quest","1993","Relation","https://www.discogs.com/master/45947","3268","Hip Hop","Jazzy Hip-Hop"
"ATLiens","OutKast","1996","Relation","https://www.discogs.com/master/25965","38561","Hip Hop",""
"Beats, Rhymes And Life","A Tribe Called Quest","1996","Relation","https://www.discogs.com/master/45970","3268","Hip Hop","Conscious"
"Evil Empire","Rage Against The Machine","1996","Relation","https://www.discogs.com/master/7951","12212","Hip Hop; Rock","Alternative Rock; Hardcore"
"Blue","Simply Red","1998","Relation","https://www.discogs.com/master/66803","6518","Jazz; Pop; Rock","Pop Rock; Soul-Jazz"
"Greatest Hits","Earth, Wind & Fire","1998","Relation","https://www.discogs.com/master/99469","22164","Funk / Soul","Disco; Funk; Soul"
"Room For Squares","John Mayer","2001","Relation","https://www.discogs.com/master/149466","254479","Rock","Acoustic; Alternative Rock; Soft Rock"
"Rooty","Basement Jaxx","2001","Relation","https://www.discogs.com/master/35002","1600","Electronic","House"
"The Very Best Of: Only The Beginning","Chicago","2002","Relation","https://www.discogs.com/master/832932","114483","Rock","Pop Rock; Soft Rock"
"Take Me To Your Leader","King Ghidra","2003","Relation","https://www.discogs.com/master/51131","113391","Hip Hop",""
"The Audition","Janelle Monáe","2003","Relation","https://www.discogs.com/release/5130244","445868","Funk / Soul","Contemporary R&B; Funk; Neo Soul"
"Vaudeville Villain","Viktor Vaughn","2003","Relation","https://www.discogs.com/master/39503","143795","Hip Hop","Boom Bap; Hardcore Hip-Hop"
"(VV:2) Venomous Villain","Viktor Vaughn","2004","Relation","https://www.discogs.com/master/39508","143795","Hip Hop",""
"Feels Like Home","Norah Jones","2004","Relation","https://www.discogs.com/master/102290","147031","Folk, World, & Country; Jazz","Contemporary Jazz; Country"
"MM..Food","MF Doom","2004","Relation","https://www.discogs.com/master/8478","25058","Hip Hop","Conscious"
