"Tassili","Tinariwen","2011","Grammy for Best World Music","=IMAGE(""https://i.discogs.com/1hAyHuewxMsF-O4rOm7CKlJ0XMnhsLW4__40ZN6hedE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTMw/ODU1NTMtMTMzNzA2/NjM2OC05MzA5Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/365914","369298","Blues; Folk, World, & Country","",""
"The Living Room Sessions Part 1","Ravi Shankar","2012","Grammy for Best World Music","=IMAGE(""https://i.discogs.com/dcTFgelribVAIyzNQUXJr0-HI5BrL_ujC060M6IecFk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUz/MTk2MjUtMTM5MDQ0/NzIwMi0yMzQ1Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/1290469","299241","Folk, World, & Country","Hindustani; Indian Classical",""
"Live: Singing For Peace Around The World","Ladysmith Black Mambazo","2013","Grammy for Best World Music","=IMAGE(""https://i.discogs.com/Wg_euBfHbxYTet78jaW-ZzbVkuV-SAueUUVIKVk8mnM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE1/MjA4MzM4LTE2MDgz/OTI4NTctNTIwNy5q/cGVn.jpeg"")","https://www.discogs.com/master/2461789","49397","Folk, World, & Country","African; Vocal",""
"Savor Flamenco","Gipsy Kings","2013","Grammy for Best World Music","=IMAGE(""https://i.discogs.com/Z95axZ_1iF96tnAlh4JZUXkCvoyc5puC0aLH5V8J0QA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUw/Mjc5MDAtMTQxMDM3/MDM2NC01MjAyLmpw/ZWc.jpeg"")","https://www.discogs.com/master/1335247","41513","Latin","Flamenco; Rumba",""
"Eve","Angélique Kidjo","2014","Grammy for Best World Music","=IMAGE(""https://i.discogs.com/Nv2Wd3KAtlBlDHXbxIlTfqILcKFyBsxo-XAxWIudWus/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/ODQ4ODk1LTE1NjI1/MDgzMDMtMzMxNy5q/cGVn.jpeg"")","https://www.discogs.com/master/1574086","465865","Folk, World, & Country; Funk / Soul; Pop","African",""
"Sings","Angélique Kidjo, Orchestre Philharmonique Du Luxembourg","2015","Grammy for Best World Music","=IMAGE(""https://i.discogs.com/dHrLMIPInHgftjZhDnWobnUNdk1VX0VtAypxDpZeSXE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgw/ODYzMTctMTQ1NDg2/NjUwNy00Mjk2Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/959080","465865; 1150496","Folk, World, & Country","African",""
"Sing Me Home","Yo-Yo Ma, The Silk Road Ensemble","2016","Grammy for Best World Music","=IMAGE(""https://i.discogs.com/a0Y_H3jQSzAO4WDSZqkBqiluJ-eK0Jy8tRs4zbixkYc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTg3/MDgwNDItMTQ2NzA4/Njg0Ny0yMTIwLmpw/ZWc.jpeg"")","https://www.discogs.com/master/1045123","276145; 377374","Jazz","Contemporary Jazz",""
"Shaka Zulu Revisited: 30th Anniversary Celebration","Ladysmith Black Mambazo","2017","Grammy for Best World Music","=IMAGE(""https://is2-ssl.mzstatic.com/image/thumb/Music111/v4/39/1e/a9/391ea919-8182-a9e3-7d53-8725fe49dd2b/888295543651.jpg/268x0w.jpg"")","","49397","World","",""
"Freedom","Soweto Gospel Choir","2018","Grammy for Best World Music","=IMAGE(""https://i.discogs.com/WxMZzKVXe3fIJk_hMkamZ8l3FYj2udZGStHqkxEZ99k/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEy/NjUwNzYyLTE1Mzkz/NTQwNjQtMjEyOC5q/cGVn.jpeg"")","https://www.discogs.com/release/12650762","680929","Folk, World, & Country","Gospel",""
"Celia","Angélique Kidjo","2019","Grammy for Best World Music","=IMAGE(""https://i.discogs.com/PiMtc6uMVeCIJWgDmhzIbB-JmdaCqChMwNo_LzEQ6hE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/NTk4MDkxLTE1NTcz/MDc5NzMtODI3MS5q/cGVn.jpeg"")","https://www.discogs.com/master/1571605","465865","Folk, World, & Country; Latin","African; Afro-Cuban; Guaguancó; Salsa; Son",""
