"Serendipity 18","The Bob Florence Limited Edition","1998","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/release/4395730","2443230","Jazz","Big Band",""
"52nd Street Themes","Joe Lovano Nonet","2000","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/666497","318742","Jazz","Bop; Post Bop",""
"Homage To Count Basie","Bob Mintzer Big Band","2000","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/911292","1499571","Jazz","",""
"What Goes Around","Dave Holland Big Band","2002","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/507936","323257","Jazz","Contemporary Jazz",""
"Wide Angles","Michael Brecker Quindectet","2003","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/637899","1707286","Jazz","Post Bop",""
"Concert In The Garden","Maria Schneider Orchestra","2004","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/1730574","1911598","Jazz","Big Band; Contemporary Jazz",""
"Overtime","Dave Holland Big Band","2005","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/485652","323257","Jazz","Big Band",""
"Some Skunk Funk - Live At Leverkusener Jazztage","Randy Brecker, Michael Brecker, Jim Beard, Will Lee, Peter Erskine, Marcio Doctor, WDR Big Band Köln, Vince Mendoza","2005","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/546836","253774; 135847; 253776; 200785; 257421; 409204; 780919; 279175","Jazz","Big Band; Contemporary Jazz; Jazz-Funk; Jazz-Rock",""
"A Tale Of God's Will (A Requiem For Katrina)","Terence Blanchard","2007","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/274306","272499","Jazz","",""
"Monday Night Live At The Village Vanguard","The Vanguard Jazz Orchestra","2008","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/release/4672455","3142861","Jazz","Big Band; Post Bop",""
"Book One","Irvin Mayfield, The New Orleans Jazz Orchestra","2009","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/release/2398023","303390; 1910634","Jazz","Big Band; Dixieland; Easy Listening",""
"Live At Jazz Standard","Mingus Big Band","2010","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/release/4978226","1415849","Jazz","Big Band",""
"The Good Feeling","Christian McBride Big Band","2011","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/614140","2474844","Jazz","Big Band",""
"Dear Diz (Every Day I Think Of You)","Arturo Sandoval","2012","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/release/3850829","277489","Jazz","",""
"Life In The Bubble","Gordon Goodwin's Big Phat Band","2014","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/934166","1395506","Jazz","Big Band",""
"Night In Calisia","Randy Brecker, Włodek Pawlik Trio, Kalisz Philharmonic Orchestra, Adam Klocek","2014","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/930425","253774; 3742855; 3753589; 2682918","Jazz","",""
"The Thompson Fields","Maria Schneider Orchestra","2015","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/release/7057874","1911598","Jazz","Big Band; Contemporary Jazz",""
"Presidential Suite: Eight Variations On Freedom","Ted Nash Big Band","2016","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/release/9997151","3782834","Jazz","",""
"Bringin' It","Christian McBride Big Band","2017","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/1250177","2474844","Jazz","Big Band",""
"American Dreamers - Voices Of Hope,  Music Of Freedom","John Daversa Big Band, DACA Artists","2018","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/release/13227151","7789681; 6991355","Jazz","Big Band",""
"The Omni-American Book Club","Brian Lynch Big Band","2019","Grammy for Best Large Jazz Ensemble","","290546","Jazz","",""
"Data Lords","Maria Schneider Orchestra","2020","Grammy for Best Large Jazz Ensemble","https://www.discogs.com/master/1782345","1911598","Jazz","Big Band; Contemporary Jazz",""
