"Colored Music","Colored Music","1981","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/zwFEb98HhUcdm_4ZWiFRg7YG1w2P7KeHUUoRKOxDioE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTMw/NTg0MzQtMTU1NDgz/NzUyNi0yNDA0Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/812562","259144","Electronic","Experimental; New Wave",""
"First Light","Makoto Matsushita","1981","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/JF80nvlAIMoZTsbHRrynXoDZSf52sOj5VjDajSRR4iI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ4/NjQwNDktMTYyMTEw/Nzg2My03MjY0Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/593192","494771","Electronic; Funk / Soul; Jazz; Pop; Rock","AOR; City Pop; Funk; Jazz-Rock; Pop Rock; Prog Rock",""
"Mkwaju","Mkwaju Ensemble","1981","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/8NA7a4Ew6jeFC2EIlG0DzkFvsaQ_VzUfwdrSlSN-Ypw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE1/NzU3MjYtMTU0ODkz/MDc0MC0xNjMyLmpw/ZWc.jpeg"")","https://www.discogs.com/master/521767","1309895","Electronic; Jazz; Latin","Afrobeat; Avant-garde Jazz; Experimental; Jazz-Funk",""
"さてこそ","Chakra","1981","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/gJZxIDuIMPZ20W6VA4vCmC0FxSwt7aAe8zzTCRsASLo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM3/NDYxNjQtMTQ2Njcz/OTYzNi0xNzc5Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/531046","635018","Electronic; Folk, World, & Country; Pop; Rock","Avantgarde; New Wave; Synth-pop",""
"ただいま。","Akiko Yano","1981","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/mfuOwVNQjsYeQ4yyapJl5TAdSpxCwothXakToMeDSRs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE4/NTIxOTMtMTUwODk5/NjgzMi0xMTUxLmpw/ZWc.jpeg"")","https://www.discogs.com/master/254796","143916","Electronic","Synth-pop",""
"Awakening","Hiroshi Sato, Wendy Matthews","1982","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/Ut0ZJyI5bN7H3a_JPv2m3RUPAFYyYcYKlD8aaQS0kGo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIz/MzQzMjktMTU0NjYx/Mzk0My00ODQ1Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/793346","259143; 259136","Electronic; Funk / Soul; Pop","City Pop; Disco; Funk; Soul; Synth-pop",""
"For You","Tatsuro Yamashita","1982","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/oh_PW8e45vt73qqcmAJ1ub5qn6NjCItHcSyRTMTNO0I/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIx/NzkzNzQtMTU3Njgx/Nzg1Ny02NjQ5Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/351396","119485","Funk / Soul; Jazz; Rock","Ballad; City Pop; Cool Jazz; Funk; Soft Rock; Soul",""
"Love Trip","Takako Mamiya","1982","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/exW0o6pnjMTIoCTMri1j_NFawkp8auzk4CPXoH921lo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTY0/NDQ0MzQtMTU2NTE0/NTkxMS05MDM4Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/774556","3787888","Funk / Soul; Jazz; Pop","City Pop; Funk; Jazz-Funk; Soul",""
"Mint Jams","Casiopea","1982","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/33FfJANOkn3beM1nbningn_8MP7-4WAsylFXUKN5eS8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTU4/MDY5OTItMTU4ODgw/MzU3Mi04NzA3Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/287930","259140","Jazz","Fusion",""
"Philharmony = フィルハーモニー","Haruomi Hosono, Haruomi Hosono","1982","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/ZcUwGB3v59vYO8MYcZFj7OXho1k0ZBCdMo7Lh5RNaNQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEy/MTg0MzYtMTYxNzYz/NjMzOS03NTkxLmpw/ZWc.jpeg"")","https://www.discogs.com/master/135216","19132; 19132","Electronic","Experimental; Synth-pop",""
"The September Wind = 九月の風 ~通り過ぎた夏~","Naoya Matsuoka, Wesing, Naoya Matsuoka, Wesing","1982","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/6ZmauUoHWIT2fV6evZuA91igbIYDwGdm_KU_PpREYNk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQy/MTgwMTQtMTQ2NTQ3/MjU0MS01Njg5Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/1110154","1158913; 1158915; 1158913; 1158915","Jazz","Contemporary Jazz; Latin Jazz",""
"What, Me Worry? ボク、大丈夫!!","Yukihiro Takahashi, Yukihiro Takahashi","1982","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/oJfEx5pu2lU0rVFvXZkCfx1VRNiSmRCOQEnUWCeIJXU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTkw/NDA5MC0xNDUzMTgw/NzMxLTgyOTMuanBl/Zw.jpeg"")","https://www.discogs.com/master/121629","58981; 58981","Electronic","Synth-pop",""
"イマジネーション通信 = Imagination Exchange","Masumi Hara","1982","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/STG6vNJRF062RDKVHijnp1zAWyV3Wyz5jBrt82kx-Mc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM3/MTA5ODQtMTM0MTMx/NTUyMC03ODUzLmpw/ZWc.jpeg"")","https://www.discogs.com/master/534752","500749","Electronic; Pop; Rock","Avantgarde; Dub; Electro; New Wave",""
"不思議・少女","Chiemi Manabe","1982","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/6mWkufOo9bFOYI7rInHFOd6JfB7dYb3ENcKnFW9ZSZU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQz/ODk3MDAtMTUwMzU0/MzYxNC0zNDcxLmpw/ZWc.jpeg"")","https://www.discogs.com/master/543107","1044032","Electronic","Synth-pop",""
"改造への躍動","Guernica","1982","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/_XWEZ2xJUsRD62y2djwUNDvnb9fkiA3iSwX-hQevNmg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTY5/NzM5OC0xNTExNDA4/Mzk5LTYxMzAuanBl/Zw.jpeg"")","https://www.discogs.com/master/276352","524506","Electronic","Experimental; Minimal; Synth-pop",""
"Can I Sing?","Masayoshi Takanaka","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/5Cj-8zugOLSFS0jiEq9vlZTKA2JOEY7NRZumuLoVEMo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTMw/MjE0OTctMTU4OTIx/MTc5My0zMTIyLmpw/ZWc.jpeg"")","https://www.discogs.com/master/602763","128537","Electronic; Funk / Soul; Jazz; Pop","City Pop; Disco; Jazz-Funk; Synth-pop",""
"Full Moon","Junko Yagami, Junko Yagami","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/IIsIgQvcilOjurTlwETobjgfpBQrYi2usS-aioOwjU0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTYw/MTYyNDUtMTQ4MDkw/OTkyMi02NDIzLmpw/ZWc.jpeg"")","https://www.discogs.com/master/1310523","794832; 794832","Funk / Soul; Pop","Boogie; City Pop; Disco; Funk; Soul",""
"Fuyü-Kükan = 浮遊空間","Tomoko Aran","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/S5f9EL_KFmombZBlZZPnOfZd_bSVtJGsk7zav3P9c9U/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTU3/MDM5MjYtMTQ4MjU4/NTcyNS04MjE0Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/1353565","1195359","Electronic; Funk / Soul; Pop; Rock","Boogie; City Pop; Funk; Kayōkyoku; New Wave; Pop Rock; Synth-pop",""
"Merry Christmas Mr. Lawrence","Ryuichi Sakamoto","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/vB2-k78e21uyVXFeQjXUFmmKw8l_jc0-WkC9O59MBYs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/MTIxNTMtMTI5MDI0/MjExMy5qcGVn.jpeg"")","https://www.discogs.com/master/52513","5087","Stage & Screen","Downtempo; Soundtrack",""
"Naughty Boys","Yellow Magic Orchestra","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/WIuRTqLo2DQXk4z4Zqh8ln9quSKF0ag6f6dbEcN_3A8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI2/ODE0MTgtMTQ4MDAx/OTI3NC01MTg4Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/91442","22061","Electronic; Pop","Synth-pop",""
"Relief 72 Hours","Yurie Kokubu, Yurie Kokubu","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/QcKqbf3HFLRyHb8rjU2tklUWcgGYH1u8v4yQgxoqS4w/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTYw/OTUzODYtMTU3NzE1/MTM2NC0xOTQwLmpw/ZWc.jpeg"")","https://www.discogs.com/master/802576","1292852; 1292852","Funk / Soul; Pop","Boogie; City Pop; Funk; Soul",""
"Rosé","Mari Iijima","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/AAlzOPJ6Ikxm2P9a8urq21qsg5b5UTy5ffyxnpYTPRw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM5/MTU3NTAtMTUyNTcx/MzkxMi05NDA1Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/539073","309740","Electronic; Pop","City Pop; Synth-pop",""
"Seaside Lovers ‎– Memories In Beach House","Masataka Matsutoya, Akira Inoue, Hiroshi Sato","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/iGLl-9G-nD06ROH0t8rtZE96mDlll2gj2S1mFv57Wo4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIx/NTEwOTMtMTQ2OTIz/MzExMy00OTI2LnBu/Zw.jpeg"")","https://www.discogs.com/master/597812","556508; 500606; 259143","Electronic; Jazz","Easy Listening; Fusion",""
"Summer Breeze","Piper","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/ZYajXFE2YlyZS8L-GTgXhhSPF5Nz856-uLvH_B9t9iw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUy/Mjc2MDktMTUyMzQ5/OTI3OC0xNzM5LnBu/Zw.jpeg"")","https://www.discogs.com/master/1307015","3180782","Electronic; Funk / Soul; Pop","Boogie; City Pop; Disco; Funk; Synth-pop",""
"Through The Looking Glass","Midori Takada","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/9HDCG5ja1CiitpocVBZAnNjjO3D3RSJLyL-QKhwdJ1E/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/MTYwMTUzLTE1MTA5/Nzg5ODUtMTYyMC5q/cGVn.jpeg"")","https://www.discogs.com/master/1123608","408787","Classical; Electronic; Stage & Screen","Ambient; Contemporary; Experimental",""
"Timely!!","Anri","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/rdC2d2mYsf7g6Dsnhozx_5vcE9YmZhOX40m55DRARLw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIx/MTQ1MzE4LTE2Mzgw/NDA4OTctNzA4NS5q/cGVn.jpeg"")","https://www.discogs.com/master/965114","1339554","Electronic; Funk / Soul; Pop","Boogie; City Pop; Disco; Funk; Soul; Synth-pop",""
"Vitamin E.P.O = ビタミンE.P.O","Epo","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/T_CdG4jt4XynrCE5Yb5pybI2UraUeGyjdGvjBPjIV2w/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM1/Mzc4NDgtMTMzNDQx/NDY1NC5qcGVn.jpeg"")","https://www.discogs.com/master/427933","232333","Electronic; Funk / Soul; Pop","City Pop; Funk; Synth-pop",""
"うたかたの日々","Mariah","1983","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/CJDHiKy7qQq9bwOvn_gNXoVwgDgAX7TNVhCmwenAOfo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIx/MzEzMTktMTYzMzIx/MDk3MC04Njc4Lmpw/ZWc.jpeg"")","https://www.discogs.com/master/827055","1722535","Electronic","Avantgarde; Experimental; Synth-pop",""
"Beauty","Ichiko Hashimoto","1984","/mu/ Japan 1980's","=IMAGE(""https://i.discogs.com/XPF-UddDSvG7Keqe_lMXqyIu9CANfi0KsTs2JT3YyLA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQx/ODA2MjUtMTUyNjcz/MDg0MS04MzcxLmpw/ZWc.jpeg"")","https://www.discogs.com/master/1006037","259135","Electronic; Pop; Rock","Ambient; Experimental; New Age; New Wave",""
